client_id,cin,nom,prenom,date_naissance,telephone,email,adresse,agence_id,date_creation
1,KZ952667,Martins,Bernard,1973-12-01,0664400939,nguyenclaudine@example.org,"85, rue de Gosselin, 25860 Bourdon-sur-Mer",18,2021-03-16
2,RU692274,Lebreton,Susanne,1966-01-25,0691135229,gilbertmichelle@example.com,"9, rue de Reynaud, 80574 Saint Michèleboeuf",15,2021-01-16
3,WQ480121,Michaud,Marthe,1969-04-04,0659709691,olivie23@example.com,"591, rue Margot Da Costa, 43380 Lombard",12,2016-03-19
4,UR063001,Huet,Anne,1996-06-14,0639747562,noelhoarau@example.org,"98, boulevard Sébastien Diaz, 06245 Saint Manon",9,2019-03-02
5,UG447798,Antoine,Jeanne,1966-02-13,0650510368,lamyagathe@example.net,"39, boulevard Danielle Delattre, 56830 Sainte Hélène",18,2021-06-15
6,DZ033976,Daniel,Éléonore,1973-05-15,0627446202,tessieralexandrie@example.com,"rue Jeannine Marchal, 97160 Guérin-les-Bains",11,2020-07-08
7,WT526071,Bazin,Nathalie,1958-10-22,0620769354,diane64@example.net,"992, avenue Roger Gautier, 13682 Sainte Chantal-les-Bains",11,2015-07-19
8,ZZ327619,Traore,Camille,1976-06-19,0651534128,pgirard@example.net,"chemin Marguerite Gauthier, 62716 Brunboeuf",16,2019-07-22
9,FM575311,Garnier,Élisabeth,1959-07-04,0651909489,pperret@example.com,"71, rue de Cohen, 70427 Saint Isaac",10,2020-05-09
10,PJ188787,Aubert,Marianne,1969-06-20,0610376861,gerarddupont@example.net,"1, boulevard Richard Garnier, 62388 Legros",19,2021-09-24
11,VW452518,Foucher,Éléonore,1998-09-30,0698463767,jacqueline70@example.net,"21, chemin Laurent, 14773 MaréchalBourg",18,2017-06-06
12,EI019424,Le Goff,Adrien,1973-01-09,0655762532,dufourelodie@example.org,"718, boulevard Christine Navarro, 51194 Jourdannec",8,2019-03-13
13,UP968032,Munoz,Victor,1993-03-14,0676575710,delahayebernard@example.org,"77, rue Voisin, 78353 Gillet",12,2022-04-16
14,AI464012,Renard,Margot,1994-09-16,0667704483,yboutin@example.com,"876, avenue Capucine Roy, 69399 Rousset",16,2021-02-27
15,GW586859,Texier,Océane,1969-12-04,0600109214,bernierauguste@example.com,"724, chemin Roussel, 30427 Loiseau",8,2023-09-02
16,HD125370,Grenier,Patricia,1988-08-01,0691620420,ramosisabelle@example.com,"16, avenue Raymond Lucas, 52616 Gomez",6,2015-10-20
17,FZ937213,Perrier,Virginie,1962-06-18,0660411322,jlaporte@example.net,"98, chemin de Benard, 97399 Michaud-sur-Delorme",8,2017-09-21
18,WR949735,Evrard,Marcel,1983-09-23,0658171772,valetterenee@example.net,"47, boulevard Philippe, 20344 Sainte ÉdouardVille",6,2021-07-18
19,FT764528,Joubert,Gilles,1980-12-20,0612411119,rfleury@example.com,"81, avenue Élisabeth Lejeune, 61364 Duhamel",18,2019-04-12
20,WZ425246,Garnier,Lorraine,1992-08-24,0674678255,maryse41@example.org,"788, avenue de Teixeira, 23692 Sainte AdrienBourg",4,2016-12-12
21,XF419173,Lemonnier,Grégoire,1991-07-17,0672588192,theodorehoarau@example.net,"71, rue Raymond Lemoine, 23493 Duval",12,2020-10-14
22,HP175707,Maury,Bernard,1962-08-04,0682212410,tmaury@example.org,"rue Schneider, 64144 Moreno",13,2022-05-25
23,PF290197,Perez,Élise,1965-10-06,0688830228,louis41@example.org,"32, rue Gonzalez, 37778 AlexandreBourg",18,2015-01-21
24,ZM010864,Langlois,Josette,1972-12-03,,mauricezoeexamplenet,"779, boulevard de Morel, 38568 Bouchetdan",20,2018-01-15
25,WW601654,Petit,Margaret,1989-07-19,0630696539,letellieredouard@example.org,"avenue Robert Rossi, 04242 Kleinnec",7,2020-01-29
26,JS218741,Salmon,Gilbert,1998-06-25,0696097951,helenefontaine@example.com,"32, rue Lévêque, 51505 Klein",20,2018-05-20
27,OA599821,Blanchard,Vincent,1965-05-26,0698529077,nlegros@example.net,"48, rue Corinne Chevallier, 77223 Guyot",15,2017-09-30
28,GK527055,Breton,Louis,1991-09-15,0680249374,philippealphonse@example.org,"339, avenue Marcelle Moulin, 59595 Roy",20,2015-01-04
29,WR825145,Weiss,Philippe,1995-10-04,0611546511,sophie25@example.net,"579, rue de Rossi, 97319 Martinez-sur-Breton",14,2023-04-25
30,NE807386,Normand,Colette,1956-04-29,,gabrielle18exampleorg,"chemin Xavier Pottier, 41221 GimenezVille",7,2021-03-05
31,XK531607,Richard,Christophe,1975-12-05,0669816156,gabrielle69@example.com,"rue Lemonnier, 18845 Saint Laureboeuf",11,2015-12-26
32,XF294949,Benard,Victoire,1971-05-23,0664145737,chevaliertherese@example.com,"67, avenue Barbier, 62685 TexierBourg",6,2016-06-16
33,RJ323675,Perrier,Patrick,1988-01-27,0689073593,guichardsabine@example.net,"81, rue Chauvet, 73965 Marchal-la-Forêt",6,2017-02-20
34,TM236259,Leleu,Amélie,1963-09-27,0698993012,garnierjules@example.org,"397, chemin de Normand, 85637 Labbé",19,2017-10-23
35,JH431813,Joly,Stéphanie,1973-01-14,0682006373,michel85@example.net,"19, avenue de Robert, 69360 Deschamps",20,2022-03-14
36,UN818425,Laroche,Renée,1969-05-31,0647239010,bourgeoisanouk@example.com,"82, avenue de Chauveau, 79535 Sainte Suzanne",1,2020-04-20
37,XJ360840,Mendès,Marianne,1982-02-25,0644380664,vchauveau@example.org,"249, rue Brun, 24418 Toussaint",15,2022-06-15
38,YV788526,Klein,Gilbert,1990-03-22,0692270526,mda-costa@example.org,"11, boulevard Suzanne Goncalves, 73476 Pereira",18,2017-01-21
39,AH159626,Bouchet,Françoise,1971-11-14,0663148416,pascalbernadette@example.org,"chemin Sabine Schneider, 88853 Turpinboeuf",11,2016-02-02
40,NS878770,Dufour,Raymond,1978-01-03,0653214104,andree72@example.net,"84, rue Étienne, 07530 Barbier",4,2018-11-30
41,XC890586,Boulanger,Anaïs,1995-01-16,0699241013,dijouxdenise@example.org,"581, rue Peltier, 97690 Thibaultdan",11,2015-02-14
42,TJ131064,Bonnin,Alexandre,1959-10-31,0685641947,kmeunier@example.net,"442, boulevard de Fischer, 75461 BenardVille",5,2018-11-23
